pctorigarea,geoid,cdbawcensusuid
1.0,36061004500,1
0.0049,36061001501,1
0.0011,36061001501,1
0.202,36061001502,1
1.0,36061031703,1
1.0,36061000201,1
0.994,36061001501,1
1.0,36061004900,1
0.6568,36061005501,1
0.7106,36061005502,1
0.0203,36061003002,1
1.0,36061003601,1
0.5568,36061003602,1
1.0,36061003300,1
1.0,36061004700,1
1.0,36061004100,1
1.0,36061004300,1
0.0956,36061001200,1
0.9702,36061001401,1
0.867,36061001402,1
0.798,36061001502,1
1.0,36061001800,1
1.0,36061002100,1
1.0,36061002700,1
0.6119,36061003001,1
1.0,36061002500,1
1.0,36061003900,1
1.0,36061000800,1
1.0,36061001600,1
1.0,36061003700,1
0.8365,36047000100,1
0.9165,36061000700,1
1.0,36061000600,1
0.0095,36047001300,1
0.1957,36061000202,1
0.3921,36047002100,1
1.0,36061003100,1
0.0058,36061000900,1
1.0,36061031704,1
1.0,36061002900,1
0.8428,36061000900,1
1.0,36061001300,1
1.0,36061031900,1
0.0835,36061000700,1
0.0735,36061000900,1
0.0136,36047000501,1
0.3336,36047000301,1
0.2642,36061006700,1
0.2837,36061006500,1
0.1749,36061006900,1
