date,tempmean,tempmax,tempmin,precip,snow,location
20140102,26,33,18,0.33,3.10,knyc-central park
20140103,14,18,9,0.29,3.30,knyc-central park
20140104,19,29,8,0.00,0.00,knyc-central park
20140105,34,40,27,0.14,0.001,knyc-central park
20140106,37,55,19,0.36,0.00,knyc-central park
20140107,12,19,4,0.00,0.00,knyc-central park
20140108,16,22,9,0.00,0.00,knyc-central park
20140109,27,32,22,0.00,0.00,knyc-central park
20140110,34,37,30,0.11,0.001,knyc-central park
20140111,48,58,37,0.50,0.00,knyc-central park
20140112,46,54,38,0.05,0.00,knyc-central park
20140113,44,51,37,0.00,0.00,knyc-central park
20140114,48,52,44,0.38,0.00,knyc-central park
20140115,40,45,34,0.00,0.00,knyc-central park
20140116,38,41,35,0.001,0.00,knyc-central park
20140117,39,45,32,0.00,0.00,knyc-central park
20140118,34,39,28,0.10,0.001,knyc-central park
20140119,31,36,25,0.00,0.00,knyc-central park
20140120,40,45,34,0.00,0.00,knyc-central park
20140121,23,33,12,0.00,11.00,knyc-central park
20140122,13,18,7,0.02,0.50,knyc-central park
20140123,14,19,9,0.00,0.00,knyc-central park
20140124,15,19,10,0.00,0.00,knyc-central park
20140125,24,28,19,0.04,1.00,knyc-central park
20140126,26,34,17,0.001,0.001,knyc-central park
20140127,33,44,21,0.00,0.00,knyc-central park
20140128,17,21,12,0.00,0.00,knyc-central park
20140129,19,23,14,0.04,0.80,knyc-central park
20140130,23,30,16,0.00,0.00,knyc-central park
20140131,32,39,25,0.00,0.00,knyc-central park
20140201,41,45,36,0.00,0.00,knyc-central park
20140202,48,56,39,0.001,0.00,knyc-central park
20140203,38,43,32,1.17,8.00,knyc-central park
20140204,29,35,22,0.00,0.00,knyc-central park
20140205,32,34,29,1.43,4.00,knyc-central park
20140206,27,32,21,0.00,0.00,knyc-central park
20140207,28,32,24,0.00,0.00,knyc-central park
20140208,25,29,21,0.00,0.00,knyc-central park
20140209,26,31,21,0.10,1.20,knyc-central park
20140210,25,29,21,0.00,0.00,knyc-central park
20140211,21,26,16,0.00,0.00,knyc-central park
20140212,19,25,13,0.00,0.00,knyc-central park
20140213,30,36,24,1.78,9.50,knyc-central park
20140214,36,40,31,0.30,3.00,knyc-central park
20140215,32,37,27,0.13,1.60,knyc-central park
20140216,26,30,21,0.00,0.00,knyc-central park
20140217,25,32,18,0.00,0.00,knyc-central park
20140218,33,39,26,0.16,1.50,knyc-central park
20140219,40,45,34,0.26,0.00,knyc-central park
20140220,44,51,37,0.03,0.00,knyc-central park
20140221,43,49,36,0.09,0.00,knyc-central park
20140222,47,54,40,0.00,0.00,knyc-central park
20140223,49,54,43,0.001,0.00,knyc-central park
20140224,36,44,27,0.00,0.00,knyc-central park
20140225,29,33,24,0.00,0.00,knyc-central park
20140226,26,31,20,0.03,0.20,knyc-central park
20140227,24,34,14,0.00,0.00,knyc-central park
20140228,17,24,9,0.00,0.00,knyc-central park
